latitude,longitude,Year
41.263,-81.513,2016
39.636,-86.089,2016
30.022,-95.268,2016
25.775,-80.322,1989
34.068,-81.139,2016
28.496,-81.426,1986
40.522,-74.853,2016
41.178,-96.104,2016
38.205,-85.666,2016
40.11,-83.189,2016
36.326,-119.607,2016
28.191,-82.393,2017
28.044,-82.581,2017
32.919,-96.768,2017
37.244,-121.785,2017
39.255,-94.599,2017
44.939,-92.964,2017
38.409,-121.41,2018
34.925,-120.419,1988
42.752,-84.448,2017
47.166,-122.158,2018
44.736,-85.57,2017
33.218,-96.664,2018
40.74,-96.699,2017
42.374,-122.887,1991
30.202,-81.756,2018
34.12,-84.516,2018
39.127,-123.197,2018
47.767,-117.385,1992
33.986,-117.558,2018
34.037,-118.104,1993
32.88,-79.794,2018
35.988,-115.139,2018
30.47,-97.59,2018
26.288,-80.283,2019
41.575,-90.524,2018
39.404,-76.789,2018
29.534,-95.137,2018
37.989,-87.464,2019
25.914,-80.154,1992
35.582,-80.852,2019
40.673,-74.105,2019
64.852,-147.708,2018
45.55,-94.203,2019
35.605,-97.53,2019
42.321,-88.962,2019
36.806,-119.701,1990
33.4,-84.622,2019
44.857,-93.129,2019
27.496,-82.471,2019
32.423,-90.147,2020
41.359,-72.213,2019
