latitude,longitude,date
52.918,-1.441,10/28/2000
34.742,-86.601,11/02/2000
39.116,-119.776,11/10/2000
47.156,-122.309,11/14/2000
37.125,-113.522,11/15/2000
44.968,-93.35,11/16/2000
42.707,-83.296,11/22/2000
27.923,-82.332,11/28/2000
30.252,-81.536,11/29/2000
36.028,-78.914,11/30/2000
33.899,-118.373,12/05/2000
39.286,-84.452,12/06/2000
37.462,127.036,12/12/2000
35.655,140.028,12/13/2000
39.068,-94.583,01/12/2001
42.185,-88.092,02/21/2001
43.731,-79.455,03/08/2001
32.795,-80.037,04/18/2001
37.597,127.09,04/21/2001
32.685,-97.114,04/27/2001
32.943,-97.113,04/27/2001
41.931,-87.677,05/02/2001
38.796,-90.609,05/08/2001
41.092,-73.452,05/09/2001
22.152,-100.977,05/18/2001
29.788,-95.53,06/07/2001
29.954,-95.547,06/07/2001
35.162,-80.885,06/21/2001
40.313,-76.8,08/28/2001
30.396,-97.746,08/30/2001
39.791,-105.081,09/19/2001
33.023,-96.83,09/27/2001
36.065,-80.318,09/28/2001
36.163,-115.333,10/04/2001
44.639,-123.065,10/12/2001
42.629,-82.981,10/17/2001
39.036,-94.356,10/18/2001
45.199,-93.35,10/23/2001
41.474,-87.322,10/24/2001
29.575,-98.596,11/03/2001
33.492,-112.128,11/20/2001
38.959,-94.731,11/27/2001
40.692,-80.11,11/28/2001
35.127,-80.704,11/29/2001
39.155,-76.73,12/01/2001
39.402,-77.411,12/01/2001
41.94,-88.13,12/07/2001
34.083,-117.69,12/11/2001
38.907,-94.671,02/21/2002
51.421,-0.981,05/01/2002
51.609,-0.034,05/01/2002
53.528,-2.159,05/02/2002
33.568,-117.712,06/06/2002
40.458,-80.167,07/09/2002
38.295,-77.517,07/10/2002
29.611,-98.476,07/11/2002
41.009,-73.691,08/29/2002
35.601,139.377,09/07/2002
37.754,-121.476,09/17/2002
38.352,-122.715,09/18/2002
38.508,-90.339,09/20/2002
39.914,-86.062,10/03/2002
39.916,-86.225,10/03/2002
52.502,-1.854,10/05/2002
33.465,-112.275,10/11/2002
42.107,-87.822,10/17/2002
41.525,-81.447,10/22/2002
44.071,-79.489,11/20/2002
