latitude,longitude,date
34.836,-82.313,8/16/2007
37.389,-121.883,8/23/2007
41.677,-83.628,8/29/2007
43.311,-87.925,8/30/2007
32.364,-86.151,10/4/2007
39.187,-76.795,10/5/2007
29.576,-98.317,10/17/2007
41.264,-96.102,10/18/2007
47.359,-122.601,11/2/2007
35.196,-106.662,12/7/2007
38.893,-104.718,2/20/2008
38.673,-121.724,2/22/2008
30.461,-84.213,4/9/2008
34.112,-117.829,5/16/2008
39.71,-74.287,5/29/2008
37.786,-121.256,8/14/2008
43.098,-89.523,8/20/2008
39.644,-105.006,8/21/2008
39.559,-104.776,8/22/2008
45.028,-93.041,8/28/2008
29.733,-95.439,10/22/2008
42.906,-112.455,10/23/2008
47.355,-122.121,10/25/2008
38.669,-76.876,11/12/2008
41.909,-88.34,11/14/2008
36.172,-115.163,2/19/2009
33.85,-118.142,2/26/2009
21.328,-158.088,2/27/2009
33.919,-118.343,3/20/2009
32.908,-96.446,4/8/2009
33.995,-118.143,7/23/2009
33.6,-111.983,9/18/2009
38.904,-104.817,10/29/2009
40.796,-73.933,11/12/2009
38.597,-90.505,11/17/2009
41.313,-81.817,11/18/2009
37.617,-122.088,11/24/2009
34.272,-118.428,3/4/2010
40.734,-73.864,7/8/2010
43.26,-123.351,8/12/2010
32.816,-117.154,9/15/2010
38.922,-76.851,10/26/2010
34.967,-85.193,10/27/2010
33.872,-84.335,10/28/2010
41.908,-87.835,11/17/2010
41.726,-88.033,11/18/2010
42.236,-87.904,11/20/2010
44.749,-93.293,11/23/2010
45.622,-122.473,11/24/2010
32.182,-110.947,4/14/2011
38.1,-121.266,6/9/2011
40.361,-74.304,7/6/2011
33.137,-117.124,7/8/2011
40.239,-75.576,8/17/2011
40.197,-75.081,10/21/2011
33.171,-96.839,10/22/2011
43.09,-88.23,10/27/2011
33.524,-82.02,11/16/2011
26.194,-98.199,3/15/2012
33.734,-117.996,5/2/2012
41.698,-91.615,6/27/2012
41.863,-87.666,6/28/2012
42.232,-83.741,6/29/2012
27.233,-82.498,8/17/2012
33.572,-84.333,9/4/2012
46.844,-96.887,10/23/2012
46.349,-94.249,10/24/2012
40.123,-111.649,10/25/2012
35.896,-84.141,11/9/2012
39.883,-75.53,11/10/2012
40.669,-89.584,11/14/2012
43.165,-89.275,11/15/2012
44.051,-92.521,11/16/2012
38.92,-76.95,11/29/2012
39.036,-77.056,4/10/2013
29.586,-95.642,7/11/2013
38.742,-77.086,8/8/2013
29.967,-90.11,9/21/2013
43.512,-96.741,10/3/2013
40.052,-82.909,10/4/2013
41.125,-85.156,10/16/2013
44.458,-87.989,10/17/2013
38.025,-84.407,10/18/2013
40.612,-74.46,11/14/2013
33.563,-101.945,11/15/2013
30.528,-97.817,11/22/2013
41.845,-87.807,11/25/2013
29.784,-95.787,2/6/2014
30.42,-91.073,4/25/2014
32.9,-97.321,5/9/2014
40.925,-72.704,6/26/2014
40.436,-74.507,7/24/2014
40.56,-111.975,8/28/2014
34.212,-84.116,8/29/2014
40.52,-104.989,10/2/2014
43.057,-76.27,10/24/2014
42.271,-85.648,11/12/2014
39.661,-84.109,11/13/2014
41.72,-86.173,11/14/2014
30.208,-95.453,11/21/2014
41.76,-87.742,4/13/2015
37.68,-97.225,6/3/2015
30.647,-88.119,6/4/2015
43.114,-77.614,6/5/2015
41.535,-83.636,6/11/2015
42.564,-87.921,6/12/2015
38.067,-78.489,7/30/2015
47.834,-122.276,10/1/2015
41.709,-72.766,10/15/2015
43.183,-88.112,11/5/2015
42.945,-88.106,11/6/2015
44.271,-88.488,11/7/2015
38.988,-84.647,11/11/2015
29.545,-95.391,11/12/2015
33.768,-117.991,12/21/2015
40.877,-74.041,3/15/2016
35.747,-78.827,3/16/2016
30.156,-92.043,3/17/2016
30.022,-95.268,3/18/2016
36.016,-95.887,4/21/2016
39.709,-105.016,6/1/2016
41.263,-81.513,6/22/2016
39.636,-86.089,6/23/2016
34.068,-81.139,8/10/2016
40.11,-83.189,8/11/2016
40.281,-74.672,8/25/2016
28.403,-81.407,8/26/2016
38.205,-85.666,8/27/2016
41.178,-96.104,10/26/2016
36.326,-119.607,10/27/2016
47.667,-122.093,11/11/2016
40.522,-74.853,11/17/2016
40.567,-75.558,11/18/2016
28.191,-82.393,2/8/2017
28.044,-82.581,2/9/2017
32.919,-96.768,5/11/2017
39.255,-94.599,5/18/2017
37.244,-121.785,6/29/2017
34.201,-118.38,8/9/2017
37.662,-122.402,8/22/2017
40.619,-73.653,8/23/2017
44.736,-85.57,10/26/2017
42.752,-84.448,10/27/2017
40.74,-96.699,10/28/2017
44.939,-92.964,11/15/2017
30.202,-81.756,2/8/2018
47.166,-122.158,5/30/2018
44.999,-93.216,6/27/2018
33.986,-117.558,6/28/2018
39.127,-123.197,7/19/2018
33.218,-96.664,7/25/2018
30.47,-97.59,7/26/2018
32.88,-79.794,8/8/2018
34.12,-84.516,8/9/2018
38.409,-121.41,9/27/2018
39.404,-76.789,10/18/2018
29.534,-95.137,10/19/2018
41.575,-90.524,10/20/2018
35.988,-115.139,11/8/2018
64.852,-147.708,11/20/2018
26.288,-80.283,2/7/2019
40.673,-74.105,3/7/2019
35.605,-97.53,5/16/2019
35.582,-80.852,6/26/2019
37.989,-87.464,6/28/2019
45.55,-94.203,6/29/2019
29.978,-95.711,7/19/2019
27.496,-82.471,8/21/2019
33.4,-84.622,8/22/2019
42.321,-88.962,8/23/2019
32.871,-96.763,9/5/2019
41.359,-72.213,11/14/2019
44.857,-93.129,11/15/2019
32.423,-90.147,3/12/2020
