latitude,longitude,date
42.504,-83.759,12/8/04
41.561,-93.805,12/7/04
37.667,-122.103,7/5/92
33.492,-112.128,11/20/01
33.768,-117.991,12/21/15
39.187,-76.795,10/5/07
33.699,-117.824,6/7/07
38.01,-121.833,8/29/91
38.673,-121.724,2/22/08
37.389,-121.883,8/23/07
34.836,-82.313,8/16/07
29.576,-98.317,10/17/07
41.677,-83.628,8/29/07
34.94,-81.998,8/15/07
32.364,-86.151,10/4/07
34.515,-117.32,10/13/88
39.723,-121.81,10/15/91
41.264,-96.102,10/18/07
46.565,-120.496,11/14/90
38.893,-104.718,2/20/08
34.112,-117.829,5/16/08
35.196,-106.662,12/7/07
36.294,-119.306,11/20/90
29.733,-95.439,10/22/08
40.56,-111.975,8/28/14
43.098,-89.523,8/20/08
45.028,-93.041,8/28/08
39.559,-104.776,8/22/08
25.656,-80.413,11/16/88
39.71,-74.287,5/29/08
30.461,-84.213,4/9/08
39.644,-105.006,8/21/08
33.392,-111.668,10/27/94
47.355,-122.121,10/25/08
38.904,-104.817,10/29/09
37.786,-121.256,8/14/08
42.906,-112.455,10/23/08
42.605,-83.294,5/1/98
21.328,-158.088,2/27/09
38.669,-76.876,11/12/08
41.909,-88.34,11/14/08
37.48,-122.217,6/1/83
32.908,-96.446,4/8/09
33.85,-118.142,2/26/09
33.6,-111.983,9/18/09
46.146,-123.915,7/15/93
38.597,-90.505,11/17/09
37.617,-122.088,11/24/09
40.796,-73.933,11/12/09
40.734,-73.864,7/8/10
34.272,-118.428,3/4/10
43.26,-123.351,8/12/10
42.236,-87.904,11/20/10
38.922,-76.851,10/26/10
32.182,-110.947,4/14/11
33.137,-117.124,7/8/11
40.239,-75.576,8/17/11
34.967,-85.193,10/27/10
33.872,-84.335,10/28/10
41.908,-87.835,11/17/10
45.622,-122.473,11/24/10
44.749,-93.293,11/23/10
41.726,-88.033,11/18/10
37.511,-77.607,11/3/90
38.1,-121.266,6/9/11
40.361,-74.304,7/6/11
33.171,-96.839,10/22/11
43.09,-88.23,10/27/11
33.524,-82.02,11/16/11
40.197,-75.081,10/21/11
42.232,-83.741,6/29/12
41.863,-87.666,6/28/12
26.194,-98.199,3/15/12
33.734,-117.996,5/2/12
41.698,-91.615,6/27/12
39.883,-75.53,11/10/12
38.742,-77.086,8/8/13
35.896,-84.141,11/9/12
40.123,-111.649,10/25/12
46.844,-96.887,10/23/12
38.92,-76.95,11/29/12
43.165,-89.275,11/15/12
46.349,-94.249,10/24/12
27.233,-82.498,8/17/12
39.036,-77.056,4/10/13
44.051,-92.521,11/16/12
40.669,-89.584,11/14/12
29.586,-95.642,7/11/13
29.967,-90.11,9/21/13
30.528,-97.817,11/22/13
41.845,-87.807,11/25/13
38.025,-84.407,10/18/13
43.512,-96.741,10/3/13
40.052,-82.909,10/4/13
41.125,-85.156,10/16/13
44.458,-87.989,10/17/13
33.563,-101.945,11/15/13
40.612,-74.46,11/14/13
29.784,-95.787,2/6/14
30.42,-91.073,4/25/14
32.9,-97.321,5/9/14
40.436,-74.507,7/24/14
34.212,-84.116,8/29/14
43.057,-76.27,10/24/14
40.891,-74.25,9/28/91
40.52,-104.989,10/2/14
41.72,-86.173,11/14/14
38.067,-78.489,7/30/15
39.661,-84.109,11/13/14
30.208,-95.453,11/21/14
47.834,-122.276,10/1/15
42.271,-85.648,11/12/14
30.647,-88.119,6/4/15
41.535,-83.636,6/11/15
43.114,-77.614,6/5/15
41.709,-72.766,10/15/15
38.988,-84.647,11/11/15
42.564,-87.921,6/12/15
40.281,-74.672,8/25/16
37.68,-97.225,6/3/15
30.156,-92.043,3/17/16
33.808,-118.332,9/24/98
34.187,-118.603,12/18/86
35.747,-78.827,3/16/16
36.016,-95.887,4/21/16
29.978,-95.711,7/19/19
43.183,-88.112,11/5/15
40.567,-75.558,11/18/16
42.945,-88.106,11/6/15
40.861,-74.064,7/21/94
40.619,-73.653,8/23/17
48.791,-122.515,11/13/91
29.545,-95.391,11/12/15
44.271,-88.488,11/7/15
47.667,-122.093,11/11/16
41.263,-81.513,6/22/16
39.636,-86.089,6/23/16
30.022,-95.268,3/18/16
25.775,-80.322,10/26/89
34.068,-81.139,8/10/16
28.496,-81.426,9/18/86
40.522,-74.853,11/17/16
41.178,-96.104,10/26/16
38.205,-85.666,8/27/16
40.11,-83.189,8/11/16
36.326,-119.607,10/27/16
28.191,-82.393,2/8/17
28.044,-82.581,2/9/17
32.919,-96.768,5/11/17
37.244,-121.785,6/29/17
39.255,-94.599,5/18/17
44.939,-92.964,11/15/17
38.409,-121.41,9/27/18
34.925,-120.419,11/22/88
42.752,-84.448,10/27/17
47.166,-122.158,5/30/18
44.736,-85.57,10/26/17
33.218,-96.664,7/25/18
40.74,-96.699,10/28/17
42.374,-122.887,10/29/91
30.202,-81.756,2/8/18
34.12,-84.516,8/9/18
39.127,-123.197,7/19/18
47.767,-117.385,10/16/92
33.986,-117.558,6/28/18
34.037,-118.104,11/6/93
32.88,-79.794,8/8/18
35.988,-115.139,11/8/18
30.47,-97.59,7/26/18
26.288,-80.283,2/7/19
41.575,-90.524,10/20/18
39.404,-76.789,10/18/18
29.534,-95.137,10/19/18
37.989,-87.464,6/28/19
25.914,-80.154,12/12/92
35.582,-80.852,6/26/19
40.673,-74.105,3/7/19
